artery _name,artery_index ,p,d_1,d_2,S,Ru,Rd,L,R,C
Brachiocephalic,0,NaN,1,2,NaN,1.06,0.94,3.9,NaN,NaN
R. common carotid,1,0,5,6,2,0.57,0.29,10.8,NaN,NaN
R. subclavian,2,0,7,3,1,0.6,0.47,3.9,NaN,NaN
R.Brachial,3,2,8,4,7,0.42,0.24,48.5,NaN,NaN
R.Ulnar A,4,3,9,10,8,0.19,0.17,7.7,NaN,NaN
R. internal carotid,5,1,NaN,NaN,6,0.29,0.22,20.5,18798.45395,2.58771E-05
R. external carotid,6,1,NaN,NaN,5,0.13,0.08,18.7,104258.0921,1.92766E-05
R. vertebral,7,2,NaN,NaN,3,0.19,0.14,17.1,45062.9,9.0E-06
R.Radial,8,3,NaN,NaN,4,0.19,0.16,27,39596.74,9.9E-06
R. interosseous,9,4,NaN,NaN,10,0.11,0.09,9.1,632214.67,3.2E-06
 R. ulnar B,10,4,NaN,NaN,9,0.16,0.14,19.7,39596.74,7.7E-06
