artery _name,artery_index,p,d_1,d_2,S,Ru,Rd,L,R,CT
Ascending aorta,0,NaN,1,18,NaN,1.54,1.54,5.8,-,-
Aortic arch A,1,0,2,21,18,1.32,1.26,2.3,-,-
Aortic arch B,2,1,3,16,21,1.12,1.09,4.5,-,-
Thoracic aorta A,3,2,4,39,16,1.04,0.99,6,-,-
Thoracic aorta B,4,3,5,23,39,0.86,0.67,12,-,-
Abdominal aorta A,5,4,6,43,23,0.63,0.63,6.1,-,-
Abdominal aorta B,6,5,7,44,43,0.6,0.59,2.3,-,-
Abdominal aorta C,7,6,8,45,44,0.61,0.61,2.3,-,-
Abdominal aorta D,8,7,9,46,45,0.6,0.57,12.2,-,-
Abdominal aorta E,9,8,10,13,46,0.56,0.54,2.3,-,-
L. common iliac,10,9,11,48,13,0.41,0.36,6.8,-,-
L. external iliac,11,10,12,50,48,0.33,0.31,16.6,-,-
L. femoral,12,11,53,54,50,0.27,0.19,50.9,-,-
R. common iliac,13,9,14,47,10,0.41,0.36,6.8,-,-
R. external iliac,14,13,15,49,47,0.33,0.31,16.6,-,-
R. femoral,15,14,51,52,49,0.27,0.19,50.9,-,-
L. subclavian,16,2,17,32,3,0.57,0.44,3.9,-,-
L. brachial,17,16,26,38,32,0.42,0.24,48.5,-,-
Brachiocephalic,18,0,19,22,1,1.06,0.94,3.9,-,-
R. subclavian,19,18,20,27,22,0.6,0.47,3.9,-,-
R. brachial,20,19,25,33,27,0.42,0.24,48.5,-,-
L. common carotid,21,1,30,31,2,0.51,0.25,16,-,-
R. common carotid,22,18,28,29,19,0.57,0.29,10.8,-,-
Celiac A,23,4,24,42,5,0.41,0.36,2.3,-,-
Celiac B,24,23,40,41,42,0.27,0.25,2.3,-,-
R. ulnar A,25,20,34,35,33,0.19,0.17,7.7,-,-
L. ulnar A,26,17,36,37,38,0.22,0.22,7.7,-,-
R. vertebral,27,19,NaN,NaN,20,0.19,0.14,17.1,45062.96053,9.00074E-06
R. external carotid,28,22,NaN,NaN,29,0.13,0.08,18.7,104258.0921,1.92766E-05
R. internal carotid,29,22,NaN,NaN,28,0.29,0.22,20.5,18798.45395,2.58771E-05
L. internal carotid,30,21,NaN,NaN,31,0.22,0.17,20.5,18798.45395,1.89016E-05
L. external carotid,31,21,NaN,NaN,30,0.13,0.08,18.7,104258.0921,1.73264E-05
L. vertebral,32,16,NaN,NaN,17,0.19,0.14,17,45062.96053,9.00074E-06
R. radial,33,20,NaN,NaN,25,0.19,0.16,27,39596.74342,9.90081E-06
R. interosseous,34,25,NaN,NaN,35,0.11,0.09,9.1,632214.6711,3.22527E-06
R. ulnar B,35,25,NaN,NaN,34,0.16,0.14,19.7,39596.74342,7.72564E-06
L. ulnar B,36,26,NaN,NaN,37,0.21,0.19,19.7,39596.74342,1.29761E-05
L. interosseous,37,26,NaN,NaN,36,0.09,0.09,9.1,632214.6711,2.77523E-06
L. radial,38,17,NaN,NaN,26,0.18,0.14,27,39596.74342,8.4757E-06
Intercostals,39,3,NaN,NaN,4,0.66,0.49,9.2,59995.06579,0.000104259
Gastric,40,24,NaN,NaN,41,0.16,0.15,8.2,40530,8.17567E-06
Splenic,41,24,NaN,NaN,40,0.22,0.2,7.2,17465.23026,1.40262E-05
Hepatic,42,23,NaN,NaN,24,0.28,0.23,7.6,27197.76316,2.04767E-05
Superior mesenteric,43,5,NaN,NaN,6,0.41,0.37,6.8,6932.763158,4.8079E-05
R. renal,44,6,NaN,NaN,7,0.27,0.27,3.7,8532.631579,2.31019E-05
L. renal,45,7,NaN,NaN,8,0.27,0.27,3.7,8532.631579,0.00231019
Inferior mesenteric,46,8,NaN,NaN,9,0.24,0.16,5.8,51595.75658,1.33511E-05
R. internal iliac,47,13,NaN,NaN,14,0.21,0.21,5.8,59595.09868,1.36511E-05
L. internal iliac,48,10,NaN,NaN,11,0.21,0.21,5.8,59595.09868,1.36511E-05
R. deep femoral,49,14,NaN,NaN,15,0.21,0.19,14.5,35730.39474,1.2676E-05
L. deep femoral,50,11,NaN,NaN,12,0.21,0.19,14.5,35730.39474,1.2676E-05
R. anterior tibial,51,15,NaN,NaN,52,0.13,0.11,39.8,41863.22368,5.10042E-06
R. posterior tibial,52,15,NaN,NaN,51,0.16,0.14,36.9,35730.39474,7.42561E-06
L. posterior tibial,53,12,NaN,NaN,54,0.16,0.14,36.9,35730.39474,7.42561E-06
L. anterior tibial,54,12,NaN,NaN,53,0.13,0.11,39.8,41863.22368,5.10042E-06
