Time (s), Velocity (cm/s)
0.000000, 3.791130
0.002000, 3.911531
0.004000, 4.110272
0.006000, 4.419383
0.008000, 4.876084
0.010000, 5.520485
0.012000, 6.392076
0.014000, 7.525487
0.016000, 8.945957
0.018000, 10.665158
0.020000, 12.678309
0.022000, 14.962260
0.024000, 17.476311
0.026000, 20.163962
0.028000, 22.957413
0.030000, 25.782464
0.032000, 28.564315
0.034000, 31.233266
0.036000, 33.730017
0.038000, 36.008668
0.040000, 38.039419
0.042000, 39.808070
0.044000, 41.315421
0.046000, 42.573872
0.048000, 43.604822
0.050000, 44.434773
0.052000, 45.092124
0.054000, 45.604875
0.056000, 45.998126
0.058000, 46.293477
0.060000, 46.508528
0.062000, 46.656679
0.064000, 46.747830
0.066000, 46.788881
0.068000, 46.784032
0.070000, 46.735883
0.072000, 46.645334
0.074000, 46.512085
0.076000, 46.335136
0.078000, 46.112786
0.080000, 45.842937
0.082000, 45.523088
0.084000, 45.151039
0.086000, 44.724490
0.088000, 44.241541
0.090000, 43.700992
0.092000, 43.101943
0.094000, 42.444594
0.096000, 41.729745
0.098000, 40.959096
0.100000, 40.134947
0.102000, 39.260698
0.104000, 38.340049
0.106000, 37.377600
0.108000, 36.378250
0.110000, 35.347301
0.112000, 34.290052
0.114000, 33.211903
0.116000, 32.118354
0.118000, 31.014205
0.120000, 29.904156
0.122000, 28.792507
0.124000, 27.682958
0.126000, 26.578809
0.128000, 25.482760
0.130000, 24.397511
0.132000, 23.325062
0.134000, 22.267313
0.136000, 21.226064
0.138000, 20.202615
0.140000, 19.198665
0.142000, 18.215316
0.144000, 17.253967
0.146000, 16.315618
0.148000, 15.401469
0.150000, 14.512420
0.152000, 13.649371
0.154000, 12.813022
0.156000, 12.004073
0.158000, 11.223024
0.160000, 10.470075
0.162000, 9.745646
0.164000, 9.049737
0.166000, 8.382308
0.168000, 7.743169
0.170000, 7.132019
0.172000, 6.548400
0.174000, 5.991761
0.176000, 5.461452
0.178000, 4.956713
0.180000, 4.476724
0.182000, 4.020615
0.184000, 3.587496
0.186000, 3.176457
0.188000, 2.786638
0.190000, 2.417209
0.192000, 2.067440
0.194000, 1.736681
0.196000, 1.424422
0.198000, 1.130293
0.200000, 0.854088
0.202000, 0.595750
0.204000, 0.355404
0.206000, 0.133330
0.208000, -0.070044
0.210000, -0.254159
0.212000, -0.418354
0.214000, -0.561896
0.216000, -0.684020
0.218000, -0.783963
0.220000, -0.861012
0.222000, -0.914544
0.224000, -0.944066
0.226000, -0.949258
0.228000, -0.930002
0.230000, -0.886418
0.232000, -0.818888
0.234000, -0.728065
0.236000, -0.614896
0.238000, -0.480619
0.240000, -0.326759
0.242000, -0.155120
0.244000, 0.032230
0.246000, 0.232985
0.248000, 0.444621
0.250000, 0.664430
0.252000, 0.889550
0.254000, 1.116999
0.256000, 1.343690
0.258000, 1.566501
0.260000, 1.782252
0.262000, 1.987772
0.264000, 2.179883
0.266000, 2.355434
0.268000, 2.511305
0.270000, 2.644396
0.272000, 2.751637
0.274000, 2.830018
0.276000, 2.876559
0.278000, 2.888370
0.280000, 2.862691
0.282000, 2.796932
0.284000, 2.688853
0.286000, 2.536644
0.288000, 2.339175
0.290000, 2.096116
0.292000, 1.808277
0.294000, 1.477817
0.296000, 1.108628
0.298000, 0.706706
0.300000, 0.280606
0.302000, -0.158120
0.304000, -0.594606
0.306000, -1.010627
0.308000, -1.384986
0.310000, -1.694565
0.312000, -1.915904
0.314000, -2.027383
0.316000, -2.011652
0.318000, -1.857981
0.320000, -1.563990
0.322000, -1.136599
0.324000, -0.591803
0.326000, 0.046693
0.328000, 0.749709
0.330000, 1.485424
0.332000, 2.222355
0.334000, 2.931996
0.336000, 3.590907
0.338000, 4.181968
0.340000, 4.694729
0.342000, 5.125150
0.344000, 5.474641
0.346000, 5.748902
0.348000, 5.956573
0.350000, 6.108084
0.352000, 6.214565
0.354000, 6.287056
0.356000, 6.335946
0.358000, 6.370627
0.360000, 6.399198
0.362000, 6.428379
0.364000, 6.463440
0.366000, 6.508191
0.368000, 6.565032
0.370000, 6.635083
0.372000, 6.718264
0.374000, 6.813555
0.376000, 6.919146
0.378000, 7.032677
0.380000, 7.151438
0.382000, 7.272539
0.384000, 7.393030
0.386000, 7.509990
0.388000, 7.620641
0.390000, 7.722352
0.392000, 7.812713
0.394000, 7.889594
0.396000, 7.951205
0.398000, 7.996166
0.400000, 8.023587
0.402000, 8.033138
0.404000, 8.025049
0.406000, 8.000130
0.408000, 7.959771
0.410000, 7.905782
0.412000, 7.840353
0.414000, 7.765894
0.416000, 7.684874
0.418000, 7.599675
0.420000, 7.512486
0.422000, 7.425157
0.424000, 7.339178
0.426000, 7.255589
0.428000, 7.175030
0.430000, 7.097731
0.432000, 7.023592
0.434000, 6.952253
0.436000, 6.883154
0.438000, 6.815595
0.440000, 6.748866
0.442000, 6.682227
0.444000, 6.614998
0.446000, 6.546609
0.448000, 6.476599
0.450000, 6.404630
0.452000, 6.330531
0.454000, 6.254252
0.456000, 6.175873
0.458000, 6.095584
0.460000, 6.013695
0.462000, 5.930556
0.464000, 5.846587
0.466000, 5.762198
0.468000, 5.677819
0.470000, 5.593810
0.472000, 5.510481
0.474000, 5.428082
0.476000, 5.346763
0.478000, 5.266593
0.480000, 5.187534
0.482000, 5.109505
0.484000, 5.032326
0.486000, 4.955777
0.488000, 4.879628
0.490000, 4.803599
0.492000, 4.727460
0.494000, 4.650981
0.496000, 4.573972
0.498000, 4.496343
0.500000, 4.418014
0.502000, 4.339025
0.504000, 4.259486
0.506000, 4.179577
0.508000, 4.099568
0.510000, 4.019788
0.512000, 3.940619
0.514000, 3.862520
0.516000, 3.785961
0.518000, 3.711422
0.520000, 3.639403
0.522000, 3.570374
0.524000, 3.504805
0.526000, 3.443076
0.528000, 3.385557
0.530000, 3.332538
0.532000, 3.284249
0.534000, 3.240830
0.536000, 3.202361
0.538000, 3.168852
0.540000, 3.140242
0.542000, 3.116413
0.544000, 3.097164
0.546000, 3.082275
0.548000, 3.071466
0.550000, 3.064437
0.552000, 3.060858
0.554000, 3.060389
0.556000, 3.062680
0.558000, 3.067391
0.560000, 3.074212
0.562000, 3.082833
0.564000, 3.092964
0.566000, 3.104365
0.568000, 3.116836
0.570000, 3.130176
